district,year,month,mean_modal_price,mean_min_price,mean_max_price,mean_price_spread,mean_arrivals,reporting_days,is_imputed
Jhansi,2019,6,1837.8279569892472,1823.225806451613,1847.9247311827958,24.698924731182842,,30,0
Jhansi,2019,7,1799.639175257732,1754.7422680412371,1823.3505154639174,68.60824742268028,,31,0
Jhansi,2019,8,1834.0,1792.6315789473683,1851.2631578947369,58.63157894736855,,29,0
Jhansi,2019,9,1848.0645161290322,1812.4193548387098,1858.1720430107528,45.75268817204301,,30,0
Jhansi,2019,10,1879.4117647058824,1836.1176470588234,1893.0,56.88235294117658,,30,0
Jhansi,2019,11,1905.276595744681,1842.8191489361702,1922.340425531915,79.52127659574467,,30,0
Jhansi,2019,12,1920.875,1854.75,1936.125,81.375,,30,0
Jhansi,2020,1,1992.26582278481,1877.2151898734178,2006.2025316455697,128.98734177215192,,30,0
Jhansi,2020,2,1996.25,1890.125,2017.5625,127.4375,,28,0
Jhansi,2020,3,1985.7407407407406,1884.6296296296296,2021.5740740740741,136.94444444444457,,18,0
Jhansi,2020,4,1931.1363636363637,1924.7727272727273,1939.3181818181818,14.545454545454504,,27,0
Jhansi,2020,5,1949.1509433962265,1946.9811320754718,1957.7358490566037,10.754716981131878,,30,0
Jhansi,2020,6,1931.4018691588785,1929.9065420560748,1940.0,10.09345794392516,,30,0
Jhansi,2020,7,1883.2738095238096,1847.452380952381,1910.892857142857,63.44047619047615,,24,0
Jhansi,2020,8,1771.4383561643835,1721.027397260274,1828.4931506849316,107.46575342465758,,21,0
Jhansi,2020,9,1657.125,1615.859375,1688.59375,72.734375,,23,0
Jhansi,2020,10,1606.2307692307693,1571.7692307692307,1641.6153846153845,69.84615384615381,,30,0
Jhansi,2020,11,1606.6,1575.6,1636.9,61.30000000000018,,26,0
Jhansi,2020,12,1601.6129032258063,1565.967741935484,1635.967741935484,70.0,,30,0
Jhansi,2021,1,1608.8461538461538,1571.9871794871794,1640.8974358974358,68.91025641025635,,30,0
Jhansi,2021,2,1606.4367816091954,1567.816091954023,1632.4597701149426,64.64367816091954,,28,0
Jhansi,2021,3,1610.987012987013,1572.4675324675325,1638.844155844156,66.37662337662346,,30,0
Jhansi,2021,4,1941.5079365079366,1933.7301587301588,1957.3809523809523,23.650793650793503,,25,0
Jhansi,2021,5,1975.0,1975.0,1988.448275862069,13.448275862069067,,28,0
Jhansi,2021,6,1959.296875,1937.96875,1964.84375,26.875,,26,0
Jhansi,2021,7,1681.2676056338028,1642.9577464788733,1721.4084507042253,78.45070422535196,,25,0
Jhansi,2021,8,1654.0972222222222,1616.3194444444443,1685.5555555555557,69.23611111111131,,28,0
Jhansi,2021,9,1764.8591549295775,1734.0845070422536,1792.4647887323943,58.38028169014069,,30,0
Jhansi,2021,10,1824.8591549295775,1796.5492957746478,1851.1267605633802,54.577464788732414,,30,0
Jhansi,2021,11,1872.8070175438597,1849.8245614035088,1890.3508771929824,40.52631578947353,,26,0
Jhansi,2021,12,1883.2394366197184,1868.661971830986,1906.9014084507041,38.23943661971816,,30,0
Jhansi,2022,1,1896.7391304347825,1865.6521739130435,1912.6811594202898,47.02898550724626,,30,0
Jhansi,2022,2,1938.6301369863013,1901.4383561643835,1954.3835616438357,52.94520547945217,,27,0
Jhansi,2022,3,1985.9036144578313,1950.5421686746988,2021.0240963855422,70.48192771084337,,29,0
Jhansi,2022,4,2036.0898876404494,2019.8314606741574,2062.247191011236,42.41573033707846,,30,0
Jhansi,2022,5,2030.607476635514,2015.5607476635514,2052.0560747663553,36.49532710280391,,31,0
Jhansi,2022,6,2032.7478991596638,2015.7142857142858,2051.4285714285716,35.71428571428578,,30,0
Jhansi,2022,7,2047.857142857143,2013.7012987012988,2068.3766233766232,54.67532467532442,,29,0
Jhansi,2022,8,2227.076923076923,2128.6813186813188,2276.153846153846,147.47252747252742,,29,0
Jhansi,2022,9,2284.5205479452056,2211.7123287671234,2340.0,128.28767123287662,,29,0
Jhansi,2022,10,2303.972602739726,2240.068493150685,2362.7397260273974,122.67123287671257,,28,0
Jhansi,2022,11,2376.876712328767,2309.5890410958905,2420.1369863013697,110.54794520547921,,30,0
Jhansi,2022,12,2532.4137931034484,2449.942528735632,2559.942528735632,110.0,,31,0
Jhansi,2023,1,2632.5714285714284,2541.714285714286,2666.785714285714,125.07142857142844,,29,0
Jhansi,2023,2,2686.449275362319,2582.753623188406,2719.927536231884,137.17391304347802,,28,0
Jhansi,2023,3,2279.940476190476,2204.5238095238096,2324.6428571428573,120.1190476190477,,28,0
Jhansi,2023,4,2148.0165289256197,2104.7520661157023,2173.801652892562,69.04958677685954,,30,0
Jhansi,2023,5,2154.3953488372094,2131.7441860465115,2177.248062015504,45.50387596899236,,31,0
Jhansi,2023,6,2212.6171875,2160.8984375,2251.6015625,90.703125,,30,0
Jhansi,2023,7,2203.781512605042,2147.983193277311,2246.09243697479,98.10924369747909,,31,0
Jhansi,2023,8,2335.3478260869565,2242.8260869565215,2377.0434782608695,134.21739130434798,,30,0
Jhansi,2023,9,2374.89898989899,2307.979797979798,2418.4848484848485,110.50505050505035,,29,0
Jhansi,2023,10,2392.554347826087,2335.4347826086955,2430.4347826086955,95.0,,29,0
