district,avg_annual_HDD_10,HDD_10_cv,winter_share_HDD_10,pct_months_breach5_10,avg_annual_HDD_15,HDD_15_cv,winter_share_HDD_15,pct_months_breach5_15,avg_annual_HDD_18,HDD_18_cv,winter_share_HDD_18,pct_months_breach5_18,avg_annual_rainfall,rainfall_cv,spi1_drought_freq,spi1_wet_freq,spi3_drought_freq,monsoon_spi1_mean,rabi_spi1_mean,district_price_name,avg_modal_price,price_volatility,avg_arrival,price_cv,cluster,has_price_data
Ballia,0.08795851016666667,578.1901375999173,100.0,0.0,21.34063403388,91.64360305982832,100.0,9.444444444444445,125.18422676504066,27.84582519724148,99.7462087484102,22.916666666666664,920.077310710095,24.538647742213236,8.055555555555555,16.11111111111111,16.295264623955433,0.000686810032233994,0.26073013525256816,Ballia,3112.854424778761,1256.378704576283,38.4087610619469,40.36098490746405,0,True
Balrampur,0.5562913863166666,433.32429635766283,100.0,0.2777777777777778,31.393023394881666,80.48918405603594,99.9957527760763,11.25,153.60727082116904,26.89934124116705,99.423871183309,24.166666666666668,1092.9134585427666,30.013629729301382,10.972222222222221,15.972222222222221,15.87743732590529,0.0021348242402342197,0.2673693120543538,Balrampur,2626.142940226171,337.29135866849833,22.767883683360257,12.843602436943113,0,True
Banda,0.137747718,454.0802014008659,100.0,0.0,27.053311046504998,65.35513682980027,99.94054947357206,11.38888888888889,143.82484395689002,25.705143252642536,99.05170033926207,24.02777777777778,817.6174820199833,26.467036763501962,10.694444444444445,15.277777777777779,15.87743732590529,-0.0010629517114622733,0.2000694789465925,Banda,2531.0284246575343,284.29216537521694,32.15140410958904,11.232278650275674,0,True
Barabanki,0.6479352162333335,363.34963770143787,100.0,0.4166666666666667,32.07421337038,77.94380846831753,99.96726341642298,11.11111111111111,153.61541100480497,27.84423179471839,99.27818918921359,24.444444444444443,1005.0684066985667,27.41329662293594,10.833333333333334,15.972222222222221,15.87743732590529,0.0007925630508889873,0.2037596305542246,Barabanki,2821.2829133858268,842.7991978523531,51.98988188976378,29.872906182276772,0,True
Bareilly,1.2994481521333334,268.96897410511247,100.0,0.5555555555555556,89.72981183547999,38.06078907645326,99.72471820758646,21.38888888888889,300.0288034458516,17.151470983143284,96.52280131908476,31.38888888888889,872.8630650027001,28.728170411939708,11.25,15.416666666666668,15.598885793871867,-0.0009337883907173235,0.14284118776205385,Bareilly,4459.23099009901,2096.5951585194052,59.43019801980198,47.016966897981966,1,True
Basti,0.3653498491666667,411.89515766869425,100.0,0.1388888888888889,28.29924006851167,81.21206802420133,100.0,10.555555555555555,142.99800063292832,26.432930299434837,99.45604601757331,23.75,1033.8851008937165,31.987426832972677,8.472222222222223,15.833333333333332,14.902506963788301,0.009651053722872524,0.2948129810645107,Basti,2769.327027027027,759.7072647906806,122.2000900900901,27.43291988906972,2,True
Bijnor,8.605254464816666,95.10267159380832,99.890570632879,5.138888888888888,218.99543167122334,24.973177956361823,96.82223068905482,29.305555555555557,523.098170156895,15.213111277965707,88.45882793603462,40.13888888888889,1099.0200953201665,26.020386028557212,11.666666666666666,14.722222222222223,15.181058495821729,0.010777863708494043,0.20280301936641645,Bijnor,3531.683461538462,1268.712388623812,20.908846153846152,35.92372879508119,1,True
Budaun,1.2994481521333334,268.96897410511247,100.0,0.5555555555555556,89.72981183547999,38.06078907645326,99.72471820758646,21.38888888888889,300.0288034458516,17.151470983143284,96.52280131908476,31.38888888888889,807.3625282126417,28.19659399855294,9.583333333333334,16.805555555555557,15.459610027855152,0.007348890923986177,0.21495415240027532,Badaun,4482.8822222222225,2680.9193509353177,21.697777777777777,59.80347504214267,3,True
Bulandshahr,1.179974623,281.8105334149009,100.0,0.6944444444444444,80.21302830485999,40.065083689419666,99.87886423400276,20.416666666666668,270.1816912187633,18.663425943321144,97.62094525136465,29.444444444444446,656.6885303617499,27.25717977953781,7.638888888888889,16.11111111111111,16.15598885793872,0.012580203036167336,0.20246239648566078,Bulandshahar,3706.907548387097,1158.551286786532,14.575548387096774,31.25384897421104,3,True
Chandauli,0.13310708983333333,507.7412096744819,100.0,0.0,23.374696973176665,83.14995354120313,100.0,9.86111111111111,131.27112596717998,26.32982164670896,99.70488778438845,23.055555555555557,944.3756113877466,23.117965330920676,10.13888888888889,15.972222222222221,16.573816155988858,-0.0003489211623570965,0.21046244734250394,Chandauli,3256.1111111111113,204.3195160684966,54.18244444444444,6.274955279360073,0,True
