district,year,month,rainfall_monthly,SPI1,SPI3
Bulandshahr,1967,1,0.0,-1.1918161716813946,-0.5235030125385515
Bulandshahr,1967,2,0.0,-0.9027347916438648,-2.0736434635410714
Bulandshahr,1967,3,27.046125,1.1109943534496403,-0.13273917225820697
Bulandshahr,1967,4,0.0,-0.5729675484954635,0.1196329193478461
Bulandshahr,1967,5,0.0,-1.5010859460440247,0.11988967276122126
Bulandshahr,1967,6,37.921177,-0.07736171747358203,-0.5771950817706115
Bulandshahr,1967,7,314.0633,1.0095099329220014,0.6868273331835849
Bulandshahr,1967,8,480.03857,1.8621807264817685,2.014593998700978
Bulandshahr,1967,9,313.3968,1.6444774974690426,2.590012158784152
Bulandshahr,1967,10,2.923871,-0.1519280451660802,2.0965519778121275
Bulandshahr,1967,11,6.7330303,1.2164558662991207,1.49708322440877
Bulandshahr,1967,12,54.782684,2.5373405595709615,1.2308519663605548
Bulandshahr,1968,1,25.681961,1.064945987546474,2.18871927692604
Bulandshahr,1968,2,16.359097,0.4119506579442584,1.5976372216019366
Bulandshahr,1968,3,5.702915,0.04546236092427102,0.5051323162092689
Bulandshahr,1968,4,0.0,-0.5729675484954635,-0.09193071802250381
Bulandshahr,1968,5,0.0,-1.5010859460440247,-1.2293529946858655
Bulandshahr,1968,6,32.21624,-0.2301179663957388,-0.7499499273749909
Bulandshahr,1968,7,202.08984,0.18763236814737244,-0.13240020451306284
Bulandshahr,1968,8,212.50505,0.30795002795606946,0.04949479745748562
Bulandshahr,1968,9,28.238756,-0.9478770008911537,-0.3015389235718342
Bulandshahr,1968,10,14.958619,0.44517739582548815,-0.2865402850897123
Bulandshahr,1968,11,0.0,0.0,-0.8470353273890836
Bulandshahr,1968,12,0.021151979,-0.3420478214374579,0.022159765170773865
Bulandshahr,1969,1,0.9533057,-0.7698881808655377,-1.5218560323777124
Bulandshahr,1969,2,0.93596137,-0.7033747813242591,-1.5370072599139804
Bulandshahr,1969,3,3.7673333,-0.14131106368603322,-1.4314297840261245
Bulandshahr,1969,4,1.9814599,0.16742952015251186,-1.1094861059164156
Bulandshahr,1969,5,12.89411,0.2589307276826285,-0.2587804426106435
Bulandshahr,1969,6,7.844644,-1.3030627333500402,-1.0946335973203674
Bulandshahr,1969,7,215.37862,0.29882992507951267,-0.11790314065265756
Bulandshahr,1969,8,286.42816,0.8255559968564657,0.43090560021377594
Bulandshahr,1969,9,206.03453,1.029267196398186,1.0619797340493033
Bulandshahr,1969,10,0.0,-0.7835003753897741,0.9711366745859095
Bulandshahr,1969,11,0.0,0.0,0.8278672179076924
Bulandshahr,1969,12,0.0,-0.38532046640756773,-1.5010859460440247
Bulandshahr,1970,1,18.243706,0.7448731652549149,0.24780232815193007
Bulandshahr,1970,2,53.774414,1.5461563708996244,1.1888705409352638
Bulandshahr,1970,3,17.553402,0.7443563269626243,1.372938824453277
Bulandshahr,1970,4,0.0,-0.5729675484954635,1.3524479934940072
Bulandshahr,1970,5,17.89256,0.5020160395119934,0.4248251234148071
Bulandshahr,1970,6,71.3355,0.5953332402952386,0.4850070105488788
Bulandshahr,1970,7,44.945576,-1.8961963186931794,-1.0941696466001196
Bulandshahr,1970,8,290.03467,0.8484469427424965,-0.21568308113695514
Bulandshahr,1970,9,102.95188,0.1954359935096378,-0.33137781379493764
Bulandshahr,1970,10,28.418924,0.8060579942864634,0.6462468832142635
Bulandshahr,1970,11,0.0,0.0,0.2575500299774669
Bulandshahr,1970,12,0.0,-0.38532046640756773,0.47424913216917897
Bulandshahr,1971,1,17.070704,0.6875784019513566,0.18723663172298988
Bulandshahr,1971,2,13.511144,0.2783360853610631,0.22976186676394272
Bulandshahr,1971,3,0.0,-0.9674215661017012,-0.0045466886741519965
Bulandshahr,1971,4,0.6255635,-0.1876127652169546,-0.5110283582979426
Bulandshahr,1971,5,47.55893,1.431845074838132,0.8065712028177404
Bulandshahr,1971,6,102.38456,1.0503635847026958,1.302099919562433
Bulandshahr,1971,7,134.59091,-0.4702112273264696,0.24465602667232203
Bulandshahr,1971,8,357.4684,1.2464182794854572,0.8991493359605787
Bulandshahr,1971,9,127.16706,0.42865121660003225,0.6507690371647462
Bulandshahr,1971,10,151.3801,2.364015124004136,1.5452706883497938
Bulandshahr,1971,11,2.3600078,0.6637456937455648,1.2770106390405283
Bulandshahr,1971,12,0.07834838,-0.29358436175511604,2.356863602414877
Bulandshahr,1972,1,5.74401,-0.0669778680444248,-0.4028698065349444
Bulandshahr,1972,2,28.154827,0.8581993929205082,0.3326383984445521
Bulandshahr,1972,3,3.3675742,-0.18652663635230063,0.2124780075781412
Bulandshahr,1972,4,0.47450027,-0.245514184288473,0.3049410513300181
Bulandshahr,1972,5,0.3261639,-1.1881443226482118,-1.4419495763401518
Bulandshahr,1972,6,52.981987,0.2613258103358014,-0.17771195564285533
Bulandshahr,1972,7,238.00098,0.4780962294714346,0.2920094355061271
Bulandshahr,1972,8,217.41443,0.34571035371334213,0.4236086439797601
Bulandshahr,1972,9,62.36093,-0.2989972197927674,0.12930721396149086
Bulandshahr,1972,10,6.405176,0.08871994619528063,-0.0894889911072934
Bulandshahr,1972,11,6.705342,1.2136232853910225,-0.33842771990947046
Bulandshahr,1972,12,0.56823385,-0.1056125079692043,-0.03415426430338656
Bulandshahr,1973,1,5.1506734,-0.12628933015517654,-0.08470586215971704
Bulandshahr,1973,2,4.429748,-0.3030622452519556,-0.6607653796343271
Bulandshahr,1973,3,7.1170983,0.15912298407268338,-0.5925523284779278
Bulandshahr,1973,4,0.0,-0.5729675484954635,-0.6845636029864227
Bulandshahr,1973,5,10.805035,0.13903993305606366,-0.29644136679027305
Bulandshahr,1973,6,28.715544,-0.33350473164745736,-0.5321139404746043
Bulandshahr,1973,7,323.58417,1.0699012252033973,0.7542301406623454
Bulandshahr,1973,8,214.51585,0.3234853058202011,0.7516913497729997
Bulandshahr,1973,9,75.452934,-0.11999272967718697,0.6231633508957821
Bulandshahr,1973,10,36.82544,0.9805985230009197,0.15217505887177052
Bulandshahr,1973,11,0.31363618,0.19581549838491186,0.08108041564987449
Bulandshahr,1973,12,1.9076455,0.15413673755935292,0.7404103100467209
Bulandshahr,1974,1,0.0,-1.1918161716813946,-1.1736395841603307
Bulandshahr,1974,2,0.0,-0.9027347916438648,-1.537566577018926
Bulandshahr,1974,3,1.3012626,-0.492855998025041,-2.2977552814941147
Bulandshahr,1974,4,0.02902546,-0.5151685144585131,-2.100354443974756
Bulandshahr,1974,5,18.827045,0.5424346418676523,-0.18285322731722606
Bulandshahr,1974,6,10.010474,-1.1437219224332225,-0.8618725340542067
Bulandshahr,1974,7,284.31998,0.8128880609747393,0.43992361927052215
Bulandshahr,1974,8,156.34969,-0.172686601454782,0.07397430643191892
Bulandshahr,1974,9,9.902975,-1.633655016655743,-0.2548773308205088
Bulandshahr,1974,10,24.108517,0.7045074621808765,-0.7710127078902951
Bulandshahr,1974,11,0.0,0.0,-1.042562277770786
Bulandshahr,1974,12,16.442608,1.2394337030797393,0.7742276315728803
Bulandshahr,1975,1,17.921362,0.7293557309791151,0.9002263418059113
Bulandshahr,1975,2,12.702723,0.2376096585657011,0.6758599154336626
Bulandshahr,1975,3,3.253394,-0.20000443397088213,0.10608787209688211
Bulandshahr,1975,4,0.0,-0.5729675484954635,-0.40239585560294683
Bulandshahr,1975,5,8.879814,0.014291875710766976,-0.6467487232381406
Bulandshahr,1975,6,110.451775,1.1536548118881085,0.9200707214664141
