district,price_mean_modal,price_median_modal,price_mean_min,price_mean_max,price_mean_spread,price_std,price_cv,price_iqr,price_max_monthly,price_min_monthly,price_rolling_vol_3m,price_rolling_vol_6m,price_max_monthly_change,price_mean_abs_monthly_change,jan_avg_price,jan_std_price,feb_avg_price,feb_std_price,mar_avg_price,mar_std_price,apr_avg_price,apr_std_price,may_avg_price,may_std_price,jun_avg_price,jun_std_price,jul_avg_price,jul_std_price,aug_avg_price,aug_std_price,sep_avg_price,sep_std_price,oct_avg_price,oct_std_price,nov_avg_price,nov_std_price,dec_avg_price,dec_std_price,seasonal_amplitude,seasonal_cv,seasonal_strength,peak_to_trough_ratio,peak_price_month,trough_price_month,peak_month_consistency,price_trend_linear_slope,price_trend_quadratic_coef,price_cagr,mann_kendall_tau,mann_kendall_pvalue,structural_break_count,monthly_return_mean,monthly_return_median,monthly_return_volatility,pct_positive_months,longest_increasing_streak,longest_decreasing_streak,num_turning_points,max_drawdown,pct_imputed,observed_years,imputed_years,missing_years_before_imputation,fraction_extrapolated
Chitrakoot,1598.794217983654,1464.5946147186146,1559.6823594128384,1635.8271767461342,76.14481733329596,475.371442273757,29.733122432308996,656.5406836334957,2871.0,960.5138888888888,30.64295396224026,49.40609250961365,411.20000000000005,30.863308072573684,1604.207362534818,539.8732267299367,1591.381208687287,512.4628745361885,1577.0684369032103,485.7309714264989,1598.6430403789607,455.99523649460815,1596.0108444674424,444.72029598121946,1589.758122939825,444.84348534443404,1562.4962207050069,443.41160115239694,1579.946549696469,468.68170957380175,1587.4768842767342,480.6106796637869,1613.1330437711947,492.8335942039531,1640.8960244109426,524.4262899836614,1644.512877031962,526.2388922238894,82.01665632695517,1.5221770935843484,0.002620893212253598,1.0524907870112792,12.0,7.0,55.00000000000001,6.3982995560718,0.023225687596607713,0.05238467017733717,0.8759829167624882,8.522278982264851e-91,5.0,0.004554030769427732,0.004926098526218725,0.03355894795848043,71.54811715481172,92.0,15.0,54.0,25.01207457256011,43.75,20.0,13.0,0.0,0.8333333333333334
Deoria,1599.144593576531,1585.122767857143,1587.127608393752,1610.3570904999806,23.229482106228726,504.2335630258105,31.531455320001946,750.8514312770562,2875.0,768.2352941176471,36.87233176472977,56.615356956331354,480.42540792540785,38.29612290133767,1604.8044325405788,549.6005325094806,1620.733231976486,564.8775879496851,1599.7975086369747,505.9497255902247,1567.510012282018,504.91518264875015,1575.1666729486938,500.61966628150606,1567.8273791548174,488.6624741766055,1554.2000640418894,489.87549683723404,1564.7885685130443,494.8825083112112,1588.2810883595123,495.43782735013303,1625.1719110634676,512.4092468553761,1651.5728494724015,526.4480541031405,1669.8814039284903,539.5318935099131,115.68133988660088,2.2940006669184414,0.0052929653131283845,1.0744314342554826,12.0,7.0,50.0,6.991813793599873,0.014788281305732488,0.061632035378737404,0.8855180157950848,9.732000188135399e-93,6.0,0.005639917118843461,0.005805770584095704,0.035803187951046034,63.59832635983263,11.0,14.0,65.0,20.252715857787816,11.25,20.0,7.0,0.0,0.8333333333333334
Etah,1583.7383716055483,1540.5525846702317,1547.3048184717152,1615.4255437385198,68.12072526680501,509.27969375295925,32.156807139595045,811.4731206293711,2811.9310344827586,729.1176470588235,43.89225409751059,68.14909833341034,307.37428571428586,45.09737950540005,1611.2893833270648,557.8293057157688,1617.3328680356603,542.0365579189739,1589.843448358854,512.4276613420612,1538.8397308400822,498.0258135108346,1536.5916561702568,502.97810506419506,1548.5484431728958,502.3130829638776,1528.533716945454,494.0350675992989,1547.7281220477148,492.9661249547796,1570.260069455578,509.68212683186505,1592.9367105352396,525.8462422340209,1647.1808550843605,536.6454240553086,1675.7754552934202,551.8075167836272,147.24173834796625,2.980414987442138,0.008590286239870851,1.0963287474235157,12.0,7.0,45.0,7.007357967915388,0.014935339432300724,0.05871594875362529,0.8502885448456201,1.1556986824019385e-85,5.0,0.005559675665768166,0.007807128440570521,0.043278431793411135,61.92468619246861,10.0,6.0,86.0,23.33081057506061,2.083333333333333,20.0,2.0,0.0,0.8333333333333334
Etawah,1592.0931241193693,1546.6086424468776,1560.680657223808,1616.9337225078148,56.25306528400655,523.5721384872224,32.88577348619759,817.264492753623,2930.7246376811595,749.421052631579,42.405760365888554,66.01477908670637,409.47003079838896,43.78342224281208,1629.6394387524947,579.5798969097954,1617.8955331024072,558.7626058924174,1589.8472779269289,536.9055880546035,1545.3816958389082,486.8296701530496,1552.1063516286208,495.0877787260569,1554.0777556965884,502.0476282029688,1532.968487610079,498.16927772946866,1568.094561100253,517.8004834386606,1591.9450408254982,530.333321657183,1608.5030725219049,546.273118261007,1651.3865954219323,579.5418968684794,1663.2716790068157,569.6973564339273,130.3031913967368,2.6935779446039145,0.006708771073216867,1.0850005674936485,12.0,7.0,25.0,7.182976085585771,0.017267329334404866,0.058294562863153265,0.8557281598956885,9.721372499572333e-87,4.0,0.005276748237772717,0.00461990760184805,0.04070276075488328,57.32217573221757,14.0,11.0,79.0,23.108327380728593,16.25,20.0,8.0,0.0,0.8333333333333334
Faizabad,1602.5134716601037,1551.693722943723,1572.8178052102637,1626.8601823158833,54.04237710561975,522.5061001146664,32.60541077220292,799.4318910256411,2821.195652173913,788.0,42.36606853791919,65.31947966781865,382.2222222222226,43.96413994667348,1619.8039721764578,584.64241859077,1630.1627235475876,538.4916481962417,1625.9045202438463,532.9456512803399,1546.1017368713794,490.8226863693352,1555.5175561616322,497.5812869026309,1565.6798859121184,502.0017025407581,1553.6759175275554,506.3759270485943,1575.0658847420696,522.800668991707,1599.1658820458651,527.143140491618,1622.0672169991208,547.4825302875188,1659.8269837217345,567.8710607790467,1677.18937997188,571.1612578568769,131.0876431005006,2.7103621818679553,0.006909956381465919,1.0847859102504882,12.0,4.0,45.0,7.215914633733248,0.01688206768177047,0.057866093589863166,0.8681127159361544,3.384286677235525e-89,5.0,0.005314807304117548,0.0054167185748099644,0.03947792400193437,58.15899581589959,8.0,8.0,81.0,23.212858855088186,0.8333333333333334,20.0,1.0,0.0,0.8333333333333334
Farrukhabad,1586.608770789371,1569.9122807017543,1563.27327294488,1610.254396384269,46.981123439388966,525.8026753375758,33.140033322517056,798.3271104957921,2869.5945945945946,736.6666666666666,40.19317474855624,63.98212814701676,377.87974683544326,41.1899220120514,1579.3970169507834,603.7827795311972,1579.4364213899273,572.0840374543985,1562.6927545038363,542.0370478947133,1532.6728693609268,505.18962204297765,1544.8822343792724,495.45285554609626,1558.0882731023598,496.7042801520553,1558.6235319394973,498.2987024247138,1580.8809542035888,518.6941658834629,1601.1558944042213,519.9162008555625,1619.3363065112894,534.5128033253486,1666.626988338055,563.8964877476067,1655.512004388691,576.9652819780786,133.95411897712825,2.6460839038031416,0.006375310487013726,1.0873990279693426,11.0,4.0,30.0,7.23553754968843,0.019024012370791425,0.05850581145400824,0.8761615856606887,7.730514914144337e-91,4.0,0.005282632744454504,0.0054095196672738766,0.04027604978295632,59.83263598326359,20.0,7.0,76.0,24.784172661870507,26.25,20.0,9.0,0.0,0.8333333333333334
Fatehpur,1573.150886718798,1523.958736299162,1535.5053034435816,1603.5768376306944,68.0715341871128,498.5994293094232,31.69431702443863,764.3227663470168,2730.4766355140187,914.875,34.86692453447253,55.809768219280244,252.1826068376065,35.57018543001028,1579.8773340387818,534.6314218874729,1589.8750789227565,519.9510967889246,1569.7784954616868,497.9074915547235,1542.2481528205385,474.45640773272214,1550.51658941004,471.5039335681659,1565.1715361582126,476.84676815273815,1545.3205335660168,480.64749136332875,1553.40813818725,512.0256067228557,1565.874497835125,529.1536882122969,1582.249203900798,521.3089241073764,1615.5911569895527,537.5563317040804,1617.8999233348147,554.0585201544054,75.65177051427622,1.6002195369230452,0.0025491555756694847,1.049052916922559,12.0,4.0,40.0,6.8738742228627014,0.021197771544734918,0.05382098174211136,0.8677798976496351,4.850408043193436e-89,4.0,0.00492614211078918,0.004867872044506116,0.037860375860776736,64.01673640167364,25.0,10.0,65.0,19.77623504617863,25.833333333333336,20.0,10.0,0.0,4.166666666666666
Firozabad,1623.0224006208746,1575.1612903225805,1597.6674951872858,1643.7549650168964,46.087469829610974,541.0523968322819,33.336101622830746,831.6875,3059.1304347826085,767.5,46.858297247846004,73.28609308688814,511.190629011553,47.695107524806254,1664.321285440219,611.2441194644363,1666.7002619375344,583.781877952115,1648.5790622901993,562.4026124306794,1563.0565977277895,495.54350373340367,1555.3701877566677,506.0055465444324,1561.2758569810321,513.3251422003096,1555.748647841564,513.1569410354159,1595.5053482172837,532.672146240845,1625.1687152470208,544.4333173353087,1643.5770039472034,562.2255927866792,1691.2323296808831,584.0806815259439,1705.7335103831006,592.0856712476282,150.36332262643282,3.397924083060116,0.010389573514323637,1.0966736560916754,12.0,5.0,35.0,7.413426979997119,0.019528493629141757,0.05852503108083096,0.8607793599093196,9.753186525485235e-88,4.0,0.005382242529639596,0.007383306219496788,0.04340129042252259,61.92468619246861,16.0,10.0,85.0,24.122427736005005,9.583333333333334,20.0,7.0,0.0,0.8333333333333334
Gautam Buddha Nagar,1725.5074447169452,1628.35,1682.1970290781112,1787.0458492824548,104.8488202043434,441.05122937532934,25.56066800671961,512.6113636363634,2868.875,1034.2,31.221686896741065,52.93016941809144,383.7880184331798,31.245547506786078,1747.3812536648215,501.90334547547457,1736.027569990502,482.11066753845734,1725.34431295381,460.2616350276755,1684.1854790374302,405.55360753456176,1675.0259187357194,396.1396576179668,1687.5876317692685,408.52988615357333,1694.8950672519163,413.21897328100846,1712.47512872362,424.4871848421421,1737.0035575953339,440.72154304206657,1757.9651513155509,454.90879156874877,1770.2010358746436,488.5206341964975,1777.9972296907267,507.6024513013463,102.97131095500731,2.0173158427813216,0.0062287858434935455,1.0614744582774744,12.0,5.0,60.0,5.399818109062639,0.03984576606476623,0.025170167500324858,0.7242970804685142,1.4299349401208996e-62,6.0,0.002380910013824238,0.0024165835273251,0.03022842195134115,60.66945606694561,28.0,13.0,57.0,39.16470588235294,40.416666666666664,20.0,13.0,0.0,4.583333333333333
Ghaziabad,1637.231371509962,1500.0,1600.4692222205276,1676.4881225200313,76.01890029950361,519.3583621749784,31.721745088233444,796.88085106383,2900.089285714286,757.8571428571429,35.75247733733349,57.61350813515014,396.96923076923076,36.30700175175503,1665.0552785862292,571.4368942617854,1658.6268697563828,559.2803559211742,1640.7733164026909,532.4433765382537,1582.5517261902116,503.43502226421816,1571.561477089334,483.93395428795964,1587.6326304159052,503.369120275549,1595.3849354566821,505.58973411030064,1628.4971836846453,512.997290229239,1643.0104967279017,526.1286130116574,1656.6010539701952,540.0067828906277,1697.299953618442,551.5971145739511,1719.7815362209262,559.2246100289932,148.22005913159228,2.83304214713323,0.007976124593474618,1.094313879089292,12.0,5.0,40.0,7.1920049917111495,0.018647384120261824,0.05630737790727314,0.8827283236920839,3.6271455644736864e-92,5.0,0.004909190944477091,0.005305383022774501,0.036047858266624724,64.85355648535564,20.0,13.0,59.0,22.242046053788016,19.166666666666668,20.0,7.0,0.0,0.8333333333333334
Ghazipur,1625.811582404214,1573.1828125,1601.2401628446341,1651.1101123954431,49.869949550809345,503.10815789898487,30.945046974939107,765.6293402777776,2954.1666666666665,844.0909090909091,39.27638770156016,62.62309817430719,421.0357142857142,39.50027201049185,1646.5508536768398,554.6505951827847,1673.14572880253,561.7734511943196,1652.0258989037927,514.1576240209373,1587.1168802031411,464.79662872285155,1559.906945840952,472.84089011127145,1575.3620939870186,485.47317883898137,1589.7017376155877,489.9843677309666,1596.6181587138824,500.3646007086689,1620.1399450889178,510.87722695889374,1634.2910967453047,516.6516742276291,1666.4838550771979,530.8882101587669,1708.3957941954025,545.1557200256769,148.4888483544505,2.7804513843558105,0.008073248475846744,1.0951908373447234,12.0,5.0,50.0,6.934933730573189,0.017713774441879798,0.055765410332236476,0.880725310643293,9.238398519431271e-92,4.0,0.005051278245335147,0.007863536099092183,0.034426597295157166,66.10878661087865,14.0,7.0,78.0,22.07679280099087,0.8333333333333334,20.0,1.0,0.0,0.8333333333333334
Gonda,1595.8768152460862,1529.1455538996522,1571.416141744154,1633.7844729932006,62.368331249046975,525.5949043023431,32.93455354956678,795.8268229166667,2971.7021276595747,886.9230769230769,40.453801389484234,62.42948689114014,355.4956521739132,41.0060977491004,1609.446473749527,580.2776780211568,1622.7628375791805,568.4456027238496,1605.8283756777755,532.9187271859338,1547.405853647941,490.4398534154835,1553.8381381684899,485.7878012975749,1564.607978474419,498.5863689071592,1547.2298098370857,504.2997854545814,1574.4170372264066,522.417550786874,1600.4633708496444,541.1108341841461,1618.3724580204157,558.7223283400891,1641.9855472238087,573.0931076841763,1664.1639024983422,572.9097357098893,116.9340926612565,2.4079489106402603,0.005345532511064212,1.0755764217557113,12.0,7.0,45.0,7.231595097316218,0.02018105256405062,0.05560588156737811,0.8673335720777858,6.45392721074585e-89,4.0,0.004951161357881848,0.0027805757302654666,0.03642130730711391,56.48535564853556,10.0,11.0,70.0,19.397199477535437,7.083333333333333,20.0,5.0,0.0,4.583333333333333
Gorakhpur,1585.5764888417032,1587.5404040404042,1554.1063377467194,1614.3906072847103,60.28426953799092,508.92703042918714,32.09728663427451,842.2256986978541,2744.21875,808.4444444444445,35.32012038428298,54.16922702448215,447.9850746268662,36.71360961079039,1585.4199725316914,541.3021725038308,1604.4351348752095,543.6012703117316,1587.8086310360657,510.21740690878414,1544.3599652158982,496.62230233633016,1544.7824974915288,502.1379975060936,1548.3843516737868,501.0756790658201,1553.0690916174547,505.90451653201325,1559.351835879626,506.2472063618244,1580.2514357192429,508.29214885191914,1615.979950330213,528.4542780670131,1645.5017903475286,543.4439957645913,1657.5732093821923,544.7142582408785,113.21324416629409,2.4484467850878033,0.005818950967720959,1.0733075492218338,12.0,4.0,45.0,7.065404877400176,0.014236381605869234,0.05687711800414874,0.8831775786855889,2.9775832224861156e-92,4.0,0.005225442749271057,0.0051570039156245695,0.03443553800534074,68.6192468619247,25.0,5.0,78.0,18.845307870179568,13.750000000000002,20.0,4.0,0.0,0.8333333333333334
Hamirpur,1536.431259369903,1451.3213885778275,1492.6478223857598,1560.2519950358555,67.60417265009558,518.5793047708135,33.75219695695888,796.8492127436002,2864.0425531914893,881.23,40.79957063406648,64.069321870917,388.77272727272725,41.431294653850074,1560.248009610676,587.038338505914,1554.024638958965,544.3686159344788,1516.726837133223,500.65145188306366,1535.049056071344,488.4880766872277,1541.7311390122074,489.1096681900863,1529.5021773524581,484.824633542768,1496.146173271935,483.45292754364044,1507.150037036268,514.9207255516246,1512.5107804733811,528.3900261738697,1527.6956782274963,552.6471879036848,1570.3462217237006,589.3521389120301,1586.0443635671813,582.1943722338659,89.89819029524642,1.7643726655354088,0.0027326030480660465,1.060086502175551,12.0,7.0,35.0,7.093373914369565,0.02159213044066872,0.05735356310632067,0.8667290078867341,9.702938873147865e-89,4.0,0.005127765175340641,0.0036002789589371087,0.04129704686252569,62.76150627615063,38.0,12.0,63.0,25.431258943351757,30.0,20.0,10.0,0.0,5.416666666666667
Hardoi,1574.551852955238,1552.8957659115426,1548.966023927055,1597.9036167985294,48.93759287147468,520.7842473534794,33.07507760865621,839.9485192958459,2854.245283018868,871.33,33.28815137905065,52.88398783923004,387.1182622687047,33.847221801709786,1583.4190109997185,577.3960067876442,1592.8338674243691,574.8146423620159,1574.742138976511,546.3968478001372,1525.021784582548,484.1634056049705,1538.4631150746895,486.92413058871665,1549.6105097513348,497.6095949749351,1541.3858390696212,498.8067726462159,1562.5365229197741,512.7069563876292,1583.3693135439473,527.8020591780399,1593.2834286908355,536.1154410148855,1617.511309732583,559.6348663152929,1632.445394696925,571.8439540641809,107.42361011437697,2.067805723706144,0.003908568453231676,1.0704407053068967,12.0,4.0,35.0,7.207540373403304,0.016100800918113254,0.058252691006409396,0.880357365010196,1.3133156973208131e-91,3.0,0.0048913423266427605,0.0059184203355178155,0.03070668555639994,64.01673640167364,12.0,18.0,68.0,19.003554517910302,24.583333333333332,20.0,7.0,0.0,3.75
